Elimination games;Abalone;index-map-abalone.html;https://en.wikipedia.org/wiki/Abalone_(board_game);abalone-1;1987 Michel Lalet and Laurent Levi
Breakthrough games;Alapo;breakthrough/alapo.htm;https://www.chessvariants.com/small.dir/alapo.html;alapo;1982 Johannes Tranelis
Checkers games;Alquerque;index-map-alquerque.html;https://en.wikipedia.org/wiki/Alquerque;alquerque;
Checkers games;Altai Shatra;index-map-shatra.html;https://en.wikipedia.org/wiki/Shatra_(game);shatra-1;
Stalemate games;Amazons;stalemate/amazons.htm;https://www.iggamecenter.com/en/rules/amazons;amazons;1988 Walter Zamkauskas
Checkmate games;Andalusia;checkmate/andalusia.htm;;andalusia;2009 Chris Huntoon
Elimination games;Apocalypse;elimination/apocalypse.htm;https://en.wikipedia.org/wiki/Apocalypse_(chess_variant);apocalypse;1976 C. S. Elliott
Breakthrough games;Archimedes;breakthrough/archimedes.htm;http://www.di.fc.ul.pt/~jpn/gv/archimedes.htm;archimedes;1988 Scott Marley and Philip Cohen
Go family;Atari Go;go/atari-go.htm;https://senseis.xmp.net/?AtariGo;go-9x9;
Races;Backgammon;index-map-backgammon.html;;backgammon;
Elimination games;BanQi;index-map-banqi.html;https://en.wikipedia.org/wiki/Banqi;banqi;
Other puzzles;Bulls and Cows;arrange/mastermind.htm;;mastermind;
Elimination games;Cannon;index-map-cannon.html;;cannon;2003 David E. Whitcher
Arrange games;Captain's Mistress;arrange/connect-four.htm;https://en.wikipedia.org/wiki/Connect_Four;connect-four;1974 Milton Bradley
Checkers games;Checkers;index-map-checkers.html;https://en.wikipedia.org/wiki/Russian_draughts;russian-checkers-1;
Checkers games;Cheskers;index-map-cheskers.html;https://en.wikipedia.org/wiki/Cheskers;cheskers-8x8;1948 Solomon W. Golomb
Chess family;Chess;index-map-chess.html;https://en.wikipedia.org/wiki/Chess;chess-1;
Breakthrough games;Chessball;breakthrough/chessball.htm;;chessball;1957 Kamzolov J.N.
Chess family;Chessgi;checkmate/chessgi.htm;https://www.chessvariants.com/other.dir/chessgi.html;chess-1;
Go family;Chess Go;xiangqi/chess-go-board.htm;;chess-go;Valentin Chelnokov
Races;Chinese Checkers;index-map-chinese-checkers.html;https://en.wikipedia.org/wiki/Chinese_checkers;chinese-checkers;1928 Bill and Jack Pressman
Elimination games;Cinc Camins;index-map-cinc.html;https://en.wikipedia.org/wiki/Cinc_Camins;cinc-camins;
Checkers games;Column Checkers;index-map-columns.html;https://en.wikipedia.org/wiki/Bashni;column-checkers;
Races;Dodgem;races/dodgem-7x7.htm;http://www.di.fc.ul.pt/~jpn/gv/dodgem.htm;dodgem;1972 Colin Vout
Checkers games;Fanorona;checkers-like/fanorona-riatra.htm;https://en.wikipedia.org/wiki/Fanorona;fanorona;
Other puzzles;Filler;index-map-filler.html;;filler;
Breakthrough games;French Military Games;index-map-french.html;;french-1;
Elimination games;Four Lines Kono;elimination/kono.htm;http://www.di.fc.ul.pt/~jpn/gv/kono2.htm;kono;
Checkers games;Fox and Geese;index-map-fox.html;https://en.wikipedia.org/wiki/Fox_games;fox-and-geese;
Other puzzles;Fox Hunting;elimination/fox-hunting.htm;;fox-hunting;
Breakthrough games;Gate;breakthrough/gate.htm;https://www.iggamecenter.com/en/rules/gate;gate;2010 Gregory Keith Van Patten
Breakthrough games;Gauntlet;breakthrough/gauntlet-8x8.htm;https://www.di.fc.ul.pt/~jpn/gv/gauntlet.htm;gauntlet;1980 Phillip L. Leduc
Go family;Go;go/go-19x19-advisor.htm;https://en.wikipedia.org/wiki/Rules_of_Go;go-19x19;
Arrange games;Hex;arrange/hex.htm;https://www.iggamecenter.com/en/rules/hex;hex;1942 Piet Hein and John Nash
Chess family;Hexagonal Chess;index-map-hexchess.html;;glinski;
Chess family;Hiashatar;checkmate/hiashatar.htm;https://en.wikipedia.org/wiki/Hiashatar;hiashatar;
Breakthrough games;Horn Chess;breakthrough/horn-chess-hard.htm;;horn;
Races;Hounds and Jackals;races/shen.htm;https://en.wikipedia.org/wiki/Hounds_and_jackals;shen;
XiangQi family;Janggi;index-map-janggi.html;https://en.wikipedia.org/wiki/Janggi;janggi;
Breakthrough games;Just You Wait!;breakthrough/just-you-wait.htm;;just-you-wait;Isaak Shafran
Breakthrough games;Jungle;breakthrough/jungle.htm;https://en.wikipedia.org/wiki/Jungle_(board_game);jungle;
Breakthrough games;Kamisado;breakthrough/kamisado.htm;http://www.boardspace.net/kamisado/english/RULES%20ENG.pdf;kamisado;2008 Peter Burley
Other puzzles;Klondike;arrange/klondike.htm;;klondike;
Arrange games;L-Game;arrange/l-game.htm;https://en.wikipedia.org/wiki/L_game;l-game;1967 Edward de Bono
LightOff puzzles;LightOff;index-map-lightoff.html;https://en.wikipedia.org/wiki/Lights_Out_(game);lights-off;
Other puzzles;Lines;arrange/lines.htm;;lines;
Other puzzles;Mahjong solitaire;index-map-mahjong.html;;mahjong-solitaire-1;
Chess family;Makruk;checkmate/makruk.htm;https://en.wikipedia.org/wiki/Makruk;makruk;
Mancala games;Mancala;index-map-mancala.html;;oware;
Other puzzles;Mine Sweeper;elimination/mine-sweeper-16x16.htm;;mine-sweeper;
Custodian games;Ming Mang;custodian/ming-mang.htm;https://www.di.fc.ul.pt/~jpn/gv/mingmang.htm;ming-mang-17x17;
Chess family;Mini Chess;index-map-minichess.html;;mini-chess-1;
Arrange games;Morris;index-map-morris.html;;9-men;
Other puzzles;Netwalk;arrange/netwalk.htm;;netwalk;
Breakthrough games;Neutron;index-map-neutron.html;https://en.wikipedia.org/wiki/Neutron_(game);neutron-4;1978 Robert A. Kraus
Breakthrough games;Nubia;breakthrough/nubia.htm;;nubia;2009 Chris Huntoon
Breakthrough games;Ordo;breakthrough/ordo.htm;https://www.iggamecenter.com/en/rules/ordo;ordo;2009 Dieter Stein
Elimination games;Pasang;index-map-pasang.html;https://en.wikipedia.org/wiki/Pasang_(game);pasang-1;
Chess family;Platform Chess;checkmate/platform-chess.htm;;platform-chess-1;2001 Robert Price
Races;Puluc;races/puluc.htm;https://en.wikipedia.org/wiki/Bul_(game);puluc;
Arrange games;Renju;renju/renju.htm;https://en.wikipedia.org/wiki/Renju;renju;
Custodian games;Reversi;index-map-reversi.html;https://en.wikipedia.org/wiki/Reversi;reversi-1;1883 Lewis Waterman, John W. Mollett
Custodian games;Seega;index-map-seega.html;http://www.cyningstan.com/game/120/seega;seega;
Chess family;Shatranj;index-map-shatranj.html;https://en.wikipedia.org/wiki/Shatranj;shatranj-93;
Arrange games;Shisima;index-map-shisima.html;https://en.wikipedia.org/wiki/Shisima;shisima;
Shogi family;Shogi;index-map-shogi.html;https://en.wikipedia.org/wiki/Shogi;shogi-1;
Chess family;Sittuyin;checkmate/sittuyin.htm;https://en.wikipedia.org/wiki/Sittuyin;sittuyin;
Sliding puzzles;Sliding puzzles;index-map-sliding.html;;donkey_1;
Other puzzles;Sokoban;index-map-sokoban.html;https://en.wikipedia.org/wiki/Sokoban;sokoban-01;1981 Hiroyuki Imabayashi
Solitaire;Solitaire;index-map-solitaire.html;https://en.wikipedia.org/wiki/Solitaire;solitaire;
Races;Suffragetto;checkers-like/suff.htm;http://suffrajitsu.com/play-suffragetto-online-the-1909-suffragettes-vs-police-board-game-meets-the-digital-age/;suff;1908 Women's Social and Political Union
Elimination games;Surakarta;elimination/surakarta.htm;https://en.wikipedia.org/wiki/Surakarta_(game);surakarta;
Chess family;Tile Chess;index-map-tile.html;;tile-chess;
Mancala games;Toguz Kumalak;mancala/toguz-kumalak.htm;https://mancala.fandom.com/wiki/Toguz_Kumalak;toguz-kumalak;
Chess family;Turnover;checkmate/turnover.htm;https://www.chessvariants.com/rules/turnover;turnover-1;2019 Lucio Jose Patrocinio Filho
Elimination games;Ultima;custodian/ultima.htm;https://www.chessvariants.com/other.dir/ultima.html;ultima;1962 Robert Abbott
Arrange games;Ultimate tic-tac-toe;arrange/uxo.htm;https://en.wikipedia.org/wiki/Ultimate_tic-tac-toe;uxo;
Races;Ur;races/ur.htm;;ur;2011 Dmitry Skiryuk
Checkers games;Walhall;checkers-like/walhall-hard.htm;;walhall-3;2017 Valentin Chelnokov
XiangQi family;XiangQi;index-map-xiangqi.html;https://en.wikipedia.org/wiki/Xiangqi;xiangqi;
